measurement,measurement_2,class
70729,41719,three
113178,41510,three
101927,42396,three
82813,48229,three
21719,43698,three
87813,58906,three
81875,42448,three
118177,72395,three
21667,38229,three
85833,50834,three
90104,46042,three
86979,47291,three
93021,53438,three
100052,45625,three
99271,68021,three
92656,55312,three
77083,22760,three
88489,50365,three
76875,39896,three
96355,49166,three
74948,36146,three
100209,64792,three
104635,63072,three
89167,41407,three
74479,39948,three
89219,60416,three
66667,43021,three
72604,33542,three
86615,55209,three
89531,57760,three
82917,49948,three
107812,48959,three
77448,41094,three
93333,58490,three
82708,53333,three
146511,103645,three
123281,130052,three
72136,41146,three
76875,51354,three
93230,49895,three
94114,55729,three
84739,46667,three
71302,37083,three
90677,54323,three
84271,49584,three
24167,64427,three
109792,74896,three
71094,46198,three
82344,49375,three
86979,49948,three
73698,42865,three
80938,47864,three
116563,75468,three
81718,55937,three
141719,158906,three
76823,46667,three
82657,52396,three
85260,55521,three
76510,46042,three
21927,46197,three
72448,39115,three
86927,63073,three
78646,44375,three
80937,48958,three
81406,46198,three
97761,55521,three
125521,37240,three
81354,43646,three
73906,43698,three
71511,45469,three
82292,47343,three
186719,40052,three
94635,47864,three
97344,46875,three
101146,69062,three
99323,63177,three
101511,65000,three
89375,67656,three
98021,57500,three
92605,57500,three
104219,63125,three
97135,55572,three
90157,54740,three
101562,60469,three
170625,48489,three
11667,56510,three
216823,271771,three
93489,56823,three
95208,61667,three
92239,47448,three
93802,55678,three
91771,53855,three
90937,54739,three
93073,55104,three
78386,46354,three
96771,56302,three
98542,58594,three
97604,57604,three
92500,56146,three
96302,59427,three
93438,54740,three
92344,52135,three
26041,58698,three
91979,23282,three
84843,52761,three
73594,53438,three
99271,63750,three
96979,55833,three
92864,48177,three
22396,55886,three
98803,55729,three
138646,123698,three
99739,55781,three
95677,56458,three
95209,54635,three
93489,57395,three
77292,39115,three
130885,79740,three
99584,58907,three
99635,58906,three
13177,50156,three
102291,58177,three
91615,55313,three
70886,38177,three
105157,50677,three
94635,54375,three
129479,123646,three
73698,47343,three
91823,104375,three
77968,56094,three
88802,54062,three
95469,57083,three
90729,55104,three
86875,54635,three
117500,76719,three
86771,46302,three
99167,48333,three
108385,51667,three
92032,54010,three
98386,47969,three
93958,64010,three
101250,56250,three
96510,55677,three
17917,49583,three
121198,85208,three
77812,24740,three
102916,58125,three
52396,55104,three
104739,55678,three
95729,55312,three
90573,55313,three
107448,64219,three
89531,47969,three
98073,63021,three
87187,56927,three
90521,55468,three
94792,61041,three
207916,216459,three
89948,47813,three
90105,54896,three
103958,64063,three
95365,56354,three
88959,64166,three
89167,55729,three
89531,56302,three
96302,54844,three
83437,48594,three
100208,58906,three
86354,49063,three
87031,53646,three
63021,29792,four
164479,28906,four
105677,48542,four
56406,30364,four
62708,28334,four
20781,30417,four
80052,50677,four
73334,38750,four
66146,38646,four
68750,32552,four
56927,27969,four
72240,32656,four
82865,41875,four
60468,29427,four
60990,30729,four
75677,49843,four
66510,31458,four
58073,35157,four
59219,31615,four
22031,24010,four
